Sorted Stack A (500 elements):

-49657, -49375, -47961, -47953, -46898, -46544, -46255, -45373, -44587, -44576, 
-44217, -44182, -43484, -42067, -41806, -41357, -41092, -41087, -40683, -40582, 
-40564, -40562, -39426, -39262, -39202, -38281, -38185, -38108, -37680, -36503, 
-34694, -33933, -33860, -32752, -32475, -31374, -31146, -30904, -29788, -28903, 
-28713, -28710, -27835, -26887, -26521, -26177, -25818, -24671, -23894, -23825, 
-23739, -23510, -22508, -22425, -21518, -21376, -21246, -20711, -20608, -20434, 
-20066, -17262, -16909, -16397, -16199, -15001, -14952, -14375, -13875, -13164, 
-12124, -11983, -11745, -11687, -10919, -10908, -10638, -9972, -9718, -9655, 
-9652, -9473, -9416, -9325, -9236, -9231, -9002, -8973, -8904, -8796, 
-8715, -8649, -8535, -8530, -8348, -8338, -8326, -8125, -8001, -7950, 
-7505, -7480, -7259, -7228, -7212, -7039, -6994, -6813, -6774, -6635, 
-6410, -6180, -6081, -6068, -6046, -5870, -5604, -5372, -5297, -5280, 
-5229, -5039, -5016, -4951, -4723, -4590, -4512, -4475, -4428, -4011, 
-3832, -3713, -3671, -3654, -3652, -3461, -3369, -3212, -3183, -3170, 
-3004, -2933, -2862, -2702, -2647, -2642, -2537, -2523, -2366, -2317, 
-2203, -1919, -1849, -1723, -1701, -1635, -1554, -1527, -1468, -1394, 
-1393, -1364, -1296, -1258, -1244, -1235, -1017, -993, -989, -979, 
-972, -961, -955, -942, -905, -904, -899, -888, -887, -875, 
-856, -837, -836, -835, -833, -821, -813, -810, -806, -799, 
-749, -736, -733, -725, -721, -710, -671, -669, -661, -658, 
-645, -632, -630, -616, -611, -594, -592, -577, -574, -567, 
-556, -546, -540, -535, -518, -497, -491, -479, -441, -440, 
-436, -428, -416, -400, -392, -385, -382, -378, -369, -365, 
-355, -349, -346, -345, -337, -333, -326, -318, -317, -292, 
-268, -233, -212, -185, -182, -180, -172, -154, -142, -141, 
-132, -124, -113, -105, -88, -82, -71, -63, -53, -45, 
-41, -39, -33, 71, 77, 82, 86, 92, 111, 125, 
126, 143, 156, 180, 219, 235, 292, 294, 296, 304, 
319, 329, 336, 346, 349, 352, 358, 359, 368, 370, 
374, 408, 421, 436, 440, 451, 455, 461, 481, 488, 
513, 515, 519, 523, 530, 538, 558, 568, 583, 620, 
642, 670, 678, 685, 688, 691, 693, 702, 707, 715, 
720, 750, 773, 805, 806, 819, 831, 862, 892, 902, 
913, 933, 934, 939, 956, 961, 966, 969, 970, 978, 
979, 1233, 1237, 1337, 1423, 1482, 1541, 1661, 1697, 1700, 
1773, 1844, 1845, 2016, 2023, 2052, 2200, 2262, 2435, 2479, 
2519, 2671, 2702, 2714, 2750, 2817, 3066, 3124, 3303, 3551, 
3552, 3754, 3891, 3903, 3945, 4009, 4095, 4672, 4823, 4849, 
5290, 5367, 5418, 5807, 6006, 6219, 6319, 6444, 6492, 6506, 
6579, 6589, 6626, 6636, 6707, 6781, 6909, 6928, 7025, 7037, 
7119, 7149, 7361, 7419, 7548, 7658, 7822, 7887, 8048, 8111, 
8143, 8557, 8634, 8657, 8739, 8741, 8813, 8878, 8902, 9000, 
9065, 9133, 9194, 9259, 9444, 9529, 9533, 9612, 9689, 9716, 
9767, 9823, 10052, 10390, 11141, 11962, 13914, 14103, 14773, 15266, 
15777, 16039, 17926, 18264, 18746, 18876, 19002, 19276, 21969, 22152, 
22440, 24525, 24573, 25134, 25940, 26320, 27038, 27398, 27477, 28304, 
28920, 30064, 30411, 30661, 31060, 31109, 31117, 31289, 31341, 31875, 
31943, 32192, 33269, 33361, 34613, 34737, 34746, 35187, 35376, 35455, 
35728, 35800, 37279, 37577, 39130, 41651, 41707, 43732, 45594, 45695, 
45714, 45874, 46027, 46288, 46852, 46875, 47680, 49112, 49577, 49921

--- END ---
